Vardas                   Pavarde                  ND1            ND2            ND3            ND4            ND5            Egz.
Vardenis0                Pavardenis0              2              8              5              1              10             5
Vardenis1                Pavardenis1              9              9              3              5              6              6
Vardenis2                Pavardenis2              2              8              2              2              6              3
Vardenis3                Pavardenis3              8              7              2              5              3              4
Vardenis4                Pavardenis4              3              3              2              7              9              6
Vardenis5                Pavardenis5              8              7              2              9              10             3
Vardenis6                Pavardenis6              8              10             6              5              4              2
Vardenis7                Pavardenis7              3              4              4              5              2              2
Vardenis8                Pavardenis8              4              9              8              5              3              8
Vardenis9                Pavardenis9              8              10             4              2              10             9
Vardenis10               Pavardenis10             7              6              1              3              9              7
Vardenis11               Pavardenis11             1              3              5              9              7              6
Vardenis12               Pavardenis12             1              10             1              1              7              2
Vardenis13               Pavardenis13             4              9              10             4              5              5
Vardenis14               Pavardenis14             7              1              7              7              2              9
Vardenis15               Pavardenis15             5              10             7              4              8              9
Vardenis16               Pavardenis16             9              3              10             2              4              6
Vardenis17               Pavardenis17             10             9              5              1              8              7
Vardenis18               Pavardenis18             4              7              2              6              5              3
Vardenis19               Pavardenis19             1              10             8              4              8              3
Vardenis20               Pavardenis20             7              1              2              7              6              8
Vardenis21               Pavardenis21             6              5              2              3              1              1
Vardenis22               Pavardenis22             2              5              7              1              8              2
Vardenis23               Pavardenis23             8              8              8              8              4              4
Vardenis24               Pavardenis24             6              10             10             9              2              9
Vardenis25               Pavardenis25             3              7              7              1              4              9
Vardenis26               Pavardenis26             1              2              3              6              1              10
Vardenis27               Pavardenis27             5              8              9              4              6              2
Vardenis28               Pavardenis28             3              1              2              7              5              1
Vardenis29               Pavardenis29             7              2              9              10             9              5
Vardenis30               Pavardenis30             2              5              4              10             9              9
Vardenis31               Pavardenis31             1              9              8              8              9              4
Vardenis32               Pavardenis32             9              4              8              2              1              8
Vardenis33               Pavardenis33             4              5              10             7              6              2
Vardenis34               Pavardenis34             1              10             10             7              9              4
Vardenis35               Pavardenis35             5              9              5              10             10             3
Vardenis36               Pavardenis36             6              6              4              4              4              8
Vardenis37               Pavardenis37             5              4              9              1              9              9
Vardenis38               Pavardenis38             1              7              9              2              10             9
Vardenis39               Pavardenis39             10             8              3              3              9              3
Vardenis40               Pavardenis40             9              10             1              8              9              2
Vardenis41               Pavardenis41             6              9              7              2              3              5
Vardenis42               Pavardenis42             3              6              9              7              3              7
Vardenis43               Pavardenis43             6              4              10             3              5              7
Vardenis44               Pavardenis44             2              9              3              2              2              10
Vardenis45               Pavardenis45             8              7              3              10             6              3
Vardenis46               Pavardenis46             1              1              4              10             2              9
Vardenis47               Pavardenis47             2              10             6              4              3              6
Vardenis48               Pavardenis48             3              6              9              7              8              8
Vardenis49               Pavardenis49             3              3              10             5              2              10
Vardenis50               Pavardenis50             7              10             9              3              6              6
Vardenis51               Pavardenis51             5              10             2              3              6              1
Vardenis52               Pavardenis52             9              4              10             4              10             7
Vardenis53               Pavardenis53             8              10             10             8              7              10
Vardenis54               Pavardenis54             4              6              8              7              7              6
Vardenis55               Pavardenis55             9              3              6              5              5              2
Vardenis56               Pavardenis56             7              2              7              4              4              6
Vardenis57               Pavardenis57             6              4              3              9              3              6
Vardenis58               Pavardenis58             4              7              2              9              7              3
Vardenis59               Pavardenis59             2              5              7              3              10             2
Vardenis60               Pavardenis60             6              1              4              7              5              10
Vardenis61               Pavardenis61             3              10             4              5              5              1
Vardenis62               Pavardenis62             6              10             7              4              5              3
Vardenis63               Pavardenis63             9              9              8              6              9              2
Vardenis64               Pavardenis64             3              6              8              5              5              5
Vardenis65               Pavardenis65             5              5              3              10             4              1
Vardenis66               Pavardenis66             8              8              9              8              4              1
Vardenis67               Pavardenis67             4              9              3              6              3              1
Vardenis68               Pavardenis68             4              8              3              10             8              6
Vardenis69               Pavardenis69             4              5              4              3              2              2
Vardenis70               Pavardenis70             4              3              6              4              6              2
Vardenis71               Pavardenis71             3              3              3              7              5              1
Vardenis72               Pavardenis72             8              1              4              5              1              1
Vardenis73               Pavardenis73             6              4              2              1              7              8
Vardenis74               Pavardenis74             6              1              1              5              6              5
Vardenis75               Pavardenis75             10             6              7              5              9              3
Vardenis76               Pavardenis76             2              7              9              4              2              5
Vardenis77               Pavardenis77             9              5              10             3              1              8
Vardenis78               Pavardenis78             1              7              1              8              1              6
Vardenis79               Pavardenis79             7              8              4              9              5              10
Vardenis80               Pavardenis80             3              7              6              8              8              5
Vardenis81               Pavardenis81             6              8              10             9              4              1
Vardenis82               Pavardenis82             3              3              4              7              8              2
Vardenis83               Pavardenis83             6              6              5              1              3              7
Vardenis84               Pavardenis84             1              7              2              2              2              8
Vardenis85               Pavardenis85             4              1              1              5              9              4
Vardenis86               Pavardenis86             1              2              3              10             1              4
Vardenis87               Pavardenis87             9              9              6              8              8              1
Vardenis88               Pavardenis88             9              10             4              1              8              5
Vardenis89               Pavardenis89             8              9              4              8              2              1
Vardenis90               Pavardenis90             1              9              4              5              6              1
Vardenis91               Pavardenis91             2              5              6              7              3              1
Vardenis92               Pavardenis92             4              6              7              7              7              8
Vardenis93               Pavardenis93             7              8              8              2              10             2
Vardenis94               Pavardenis94             7              3              8              3              8              7
Vardenis95               Pavardenis95             6              2              4              10             10             6
Vardenis96               Pavardenis96             10             3              7              6              4              3
Vardenis97               Pavardenis97             5              5              5              3              8              10
Vardenis98               Pavardenis98             3              4              8              4              2              6
Vardenis99               Pavardenis99             8              9              6              9              4              3
Vardenis100              Pavardenis100            5              2              2              6              10             6
Vardenis101              Pavardenis101            2              1              7              5              6              4
Vardenis102              Pavardenis102            1              9              10             2              4              5
Vardenis103              Pavardenis103            8              5              7              4              7              6
Vardenis104              Pavardenis104            3              9              2              1              4              2
Vardenis105              Pavardenis105            6              6              3              3              2              8
Vardenis106              Pavardenis106            5              9              3              4              7              4
Vardenis107              Pavardenis107            1              4              6              3              9              1
Vardenis108              Pavardenis108            8              3              3              6              10             2
Vardenis109              Pavardenis109            1              9              6              1              8              10
Vardenis110              Pavardenis110            1              6              4              5              2              1
Vardenis111              Pavardenis111            5              9              6              10             3              6
Vardenis112              Pavardenis112            5              2              4              10             6              9
Vardenis113              Pavardenis113            3              8              10             7              2              8
Vardenis114              Pavardenis114            8              2              10             1              4              5
Vardenis115              Pavardenis115            2              8              6              4              4              3
Vardenis116              Pavardenis116            5              2              3              10             1              9
Vardenis117              Pavardenis117            8              5              6              7              9              1
Vardenis118              Pavardenis118            8              8              5              4              2              4
Vardenis119              Pavardenis119            7              4              1              2              10             1
Vardenis120              Pavardenis120            5              3              10             4              2              5
